0.206	0.078619336044	2.0	0.245764114549	9.70873786408	0.107922086299
0.294	0.0939201788755	2.86	0.293598365118	9.72789115646	0.0756473494354
0.42	0.112254175869	2.0	0.245764114549	4.7619047619	0.0489501885372
0.512	0.123951603459	5.04	0.389358446679	9.84375	0.0548128326736
0.62	0.136396480893	5.96	0.42332020977	9.61290322581	0.0447455412214
0.712	0.146164291125	6.88	0.454752680036	9.66292134831	0.0390613142652
0.8	0.154970965022	7.68	0.480416485979	9.6	0.0541202365109
0.896	0.164	8.72	0.513030213535	9.73214285714	0.0622947210144
1.03	0.175829462833	9.92	0.546991773247	9.63106796117	0.0539173297181
1.12	0.183346666182	10.6	0.565331761004	9.46428571429	0.0491733584852
1.21	0.190567573317	11.5	0.588727441181	9.5041322314	0.0456064813936
1.3	0.197524682002	12.6	0.61611687203	9.69230769231	0.0428500430112
