0.00511	0.00005	7.84000	0.08000
0.00982	0.00010	7.76000	0.08000
0.02920	0.00029	7.76000	0.08000
0.10200	0.00102	7.92000	0.08000
0.30700	0.00307	7.92000	0.08000
1.02000	0.01020	8.00000	0.08000
3.03500	0.03035	8.00000	0.08000
10.20000	0.10200	8.00000	0.08000
30.90000	0.30900	7.84000	0.08000
48.20000	0.48200	7.52000	0.04000
92.70000	0.92700	7.04000	0.04000
155.60000	1.55600	6.36000	0.04000
211.50000	2.11500	5.64000	0.04000
311.50000	3.11500	4.36000	0.02000
504.50000	5.04500	2.98000	0.02000
704.00000	7.04000	2.16000	0.02000
1000.00000	10.00000	1.56000	0.00800
1600.00000	16.00000	0.90400	0.00800

