695	6.95	1.25	0.01	390	10
296	2.96	2.56	0.02	680	40
129.5	1.295	4.4	0.04	860	20
49.5	0.495	5.12	0.04	800	40
19.67	0.1967	5.16	0.04	600	200
9.81	0.0981	5	0.04	4440	400
68.9	0.689	5	0.04	880	40
28.46	0.2846	5.24	0.04	440	40
5.01	0.0501	4.4	0.04	20000	400
0.912	0.00912	1.3	0.01	232000	4000
1.88	0.0188	2.42	0.04	94000	4000
0.393	0.00393	0.576	0.008	600000	20000
0.092	0.00092	0.134	0.001	2600000	100000


