740.74074	10.30000	0.15200	1.71000	0.01000
740.74074	53.30000	0.45800	1.36000	0.01000
740.74074	98.40000	0.78800	1.05000	0.02000
740.74074	148.40000	1.10500	0.77000	0.02000
740.74074	200.00000	2.52000	0.53000	0.02000
740.74074	319.00000	3.52000	0.14000	0.03000
740.74074	379.00000	3.76000	0.02000	0.02000
740.74074	468.00000	4.00500	-0.11700	0.00200
740.74074	510.00000	4.23500	-0.14500	0.00200
740.74074	564.00000	4.50500	-0.18800	0.00200
740.74074	625.00000	4.76000	-0.21200	0.00200
740.74074	684.00000	5.75500	-0.23000	0.00100
740.74074	805.00000	7.03500	-0.24900	0.00100

