499.16805	9.60000	0.14800	15.57000	0.05000
499.16805	69.50000	0.44750	10.36000	0.05000
499.16805	119.90000	0.69950	7.11000	0.05000
499.16805	170.60000	0.95300	4.67000	0.05000
499.16805	229.00000	2.14500	2.67000	0.05000
499.16805	276.00000	2.38000	1.57000	0.05000
499.16805	322.00000	2.61000	0.72000	0.05000
499.16805	371.00000	2.85500	0.07000	0.05000
499.16805	526.00000	3.63000	-1.11000	0.05000
499.16805	618.00000	4.09000	-1.40000	0.05000
499.16805	913.00000	5.56500	-1.67000	0.05000
499.16805	1424.00000	8.12000	-1.74000	0.01000
499.16805	1606.00000	9.03000	-1.76000	0.01000
499.16805	1924.00000	10.62000	-1.78000	0.01000

