740.74074	10.30000	0.15150	1.71000	0.01000
740.74074	53.30000	0.36650	1.36000	0.01000
740.74074	98.40000	0.59200	1.05000	0.02000
740.74074	148.40000	0.84200	0.77000	0.02000
740.74074	200.00000	2.00000	0.53000	0.02000
740.74074	319.00000	2.59500	0.14000	0.03000
740.74074	379.00000	2.89500	0.02000	0.02000
740.74074	468.00000	3.34000	-0.11700	0.00200
740.74074	510.00000	3.55000	-0.14500	0.00200
740.74074	564.00000	3.82000	-0.18800	0.00200
740.74074	625.00000	4.12500	-0.21200	0.00200
740.74074	684.00000	4.42000	-0.23000	0.00100
740.74074	805.00000	5.02500	-0.24900	0.00100
