5.15	0.15	100.00	1.00
5.20	0.16	200.00	2.00
5.20	0.16	300.00	3.00
4.96	0.15	500.00	5.00
4.60	0.14	1007.00	10.07
4.12	0.16	1503.00	15.03
3.46	0.14	2000.00	20.00
2.70	0.13	3000.00	30.00
2.18	0.12	4000.00	40.00
1.75	0.07	5000.00	50.00
1.13	0.05	8000.00	80.00
0.92	0.05	10140.00	101.40
0.10	0.04	100000.00	1000.00
0.02	0.02	1000000.00	10000.00

