4,1600	0,0231	0,3160	0,0097	0,8800	0,0282
3,9700	0,0222	0,3000	0,0092	0,8600	0,0277
3,2200	0,0190	0,3120	0,0096	0,8400	0,0271
2,9200	0,0177	0,3120	0,0221	0,8600	0,0277
0,0033	0,0003	10,0000	0,3162	0,0760	0,0025
3,2600	0,0191	0,2000	0,0072	0,7400	0,0243
2,8800	0,0175	0,2400	0,0075	0,7400	0,0243
2,5500	0,0162	0,2160	0,0068	0,7400	0,0243
2,3600	0,0155	0,2280	0,0071	0,7400	0,0243
2,0600	0,0144	0,2600	0,0081	0,7400	0,0243
1,4900	0,0125	2,2400	0,0701	0,7200	0,0238
1,3400	0,0120	2,9600	0,0974	0,7000	0,0233
1,1300	0,0115	4,1600	0,1311	0,7000	0,0233
0,9630	0,0049	5,0400	0,1564	0,6800	0,0227
0,7440	0,0039	6,2400	0,1914	0,6600	0,0222
0,5450	0,0029	7,2800	0,2220	0,6400	0,0216
0,4060	0,0023	8,2000	0,2655	0,6400	0,0216
0,2290	0,0015	9,0000	0,2879	0,6400	0,0216
0,0243	0,0002	10,0000	0,3162	0,5000	0,0180
0,0135	0,0001	10,0000	0,3162	0,2960	0,0091
0,0038	0,0001	10,0000	0,3162	0,0840	0,0032
0,0084	0,0001	10,0000	0,3162	0,1840	0,0059
0,0065	0,0001	10,0000	0,3162	0,1400	0,0047
0,0051	0,0001	10,0000	0,3162	0,1120	0,0039

