tenss	etenss	currr	ecurr
-0.0022055304	0.024998898	0.001493509	0.00016645025
0.20271179	0.025101356	0.0021102135	0.00017261729
0.38832515	0.025194163	0.0026814023	0.00017832918
0.58975112	0.025294876	0.00324339	0.00018394906
0.80333859	0.025401669	0.0039442913	0.00019095806
1.0143913	0.025507195	0.0045027542	0.00019654269
1.1950666	0.025597533	0.0050568441	0.0002020836
1.3942592	0.025697129	0.0055892034	0.00020740718
1.5784574	0.025789229	0.006438334	0.00021589849
1.7991427	0.02589957	0.0070552989	0.00022206813
1.9966049	0.025998302	0.0073013287	0.00022452844
2.1988587	0.026099429	0.0081560258	0.00023307541
2.4093935	0.026204696	0.0092252921	0.00024376807
2.5911012	0.02629555	0.0093994169	0.00024550932
2.8074458	0.026403723	0.010268849	0.00025420365
2.9854901	0.026492745	0.010809006	0.00025960521
3.2133572	0.026606679	0.011543818	0.00026695334
3.4066474	0.026703324	0.011676397	0.00026827911
3.6095858	0.026804794	0.012295923	0.00027447438
3.7971933	0.026898596	0.013056202	0.00028207718
3.9956071	0.026997803	0.014231413	0.00029382927
4.2007556	0.027100379	0.014219612	0.00029371126
4.3960824	0.027198041	0.014384179	0.00029535693
4.5912333	0.027295617	0.015089141	0.00030240655
4.8019977	0.027400998	0.015904827	0.00031056342
