tenss	etenss	currr	ecurr
0.020615797	0.025412316	0.0012056828	6.3378822e-05
0.20946696	0.029189339	0.0012627825	6.5662818e-05
0.40430078	0.033086017	0.0013293823	6.8326808e-05
0.63568068	0.037713613	0.0013903532	7.0765644e-05
0.80342585	0.041068517	0.0014391013	7.2715564e-05
1.010242	0.045204841	0.0015036457	7.5297343e-05
1.1770477	0.048540954	0.0015387686	7.6702258e-05
1.3924216	0.052848432	0.0016354319	8.0568789e-05
1.6080997	0.057161994	0.0017026542	8.3257684e-05
1.7640482	0.060280964	0.0017664289	8.5808671e-05
2.0145977	0.065291956	0.0018390499	8.871351e-05
2.2006929	0.069013856	0.0018760392	9.0193083e-05
2.3991396	0.072982796	0.001929282	9.2322793e-05
2.5686948	0.076373897	0.0020049107	9.5347947e-05
2.8208296	0.081416592	0.0020247691	9.6142277e-05
2.9948049	0.084896095	0.0021368149	0.00010062411
3.1833377	0.088666752	0.0022296137	0.00010433606
3.4069009	0.093138017	0.0021864916	0.00010261118
3.5998502	0.096997	0.0022564924	0.00010541121
3.8039846	0.10107969	0.0023008382	0.00010718504
3.9991279	0.10498255	0.0024007012	0.00011117956
4.2102056	0.10920411	0.0024993916	0.00011512718
4.4133472	0.11326694	0.0024971962	0.00011503937
4.6087074	0.11717415	0.0025764969	0.00011821139
4.8184662	0.12136932	0.0026742441	0.00012212127
