tenss	etenss	currr	ecurr
-0.0008277648	0.024995862	0.0014974534	0.00022638783
0.22996239	0.026149811	0.0021836255	0.00026069643
0.40374699	0.027018735	0.0026170861	0.00028236947
0.62718982	0.02813595	0.0032782224	0.00031542627
0.8361125	0.029180562	0.0038082807	0.00034192918
1.0193262	0.030096631	0.0047784178	0.00039043603
1.2084022	0.031042011	0.0047996207	0.0003914962
1.3939639	0.031969819	0.0060065528	0.00045184279
1.5931149	0.032965574	0.0057452391	0.00043877712
1.7959377	0.033979688	0.0069893883	0.00050098455
2.0153797	0.035076898	0.0076673096	0.00053488062
2.2174766	0.036087383	0.0081351716	0.00055827375
2.3998425	0.036999211	0.0085758958	0.00058030995
2.6010387	0.038005192	0.0092645697	0.00061474362
2.8083186	0.039041594	0.01014923	0.00065897667
3.0121799	0.0400609	0.010510931	0.00067706167
3.2085021	0.04104251	0.010793895	0.00069120992
3.3842661	0.041921332	0.011007277	0.00070187903
3.5789318	0.042894658	0.012417287	0.00077237946
3.7956443	0.043978222	0.013153899	0.00080921012
4.0145802	0.045072902	0.013591764	0.0008311033
4.1694188	0.045847096	0.014992197	0.00090112502
4.3691573	0.046845786	0.014250129	0.0008640216
4.6033139	0.048016571	0.01640931	0.00097198063
4.7665954	0.048832975	0.015853485	0.00094418938
