tenss	etenss	currr	ecurr
0.0084907729	0.075012736	0.0009123846	0.00026307642
0.4784576	0.075717688	0.0015857576	0.0003034788
1.033461	0.076550193	0.0023158893	0.0003472867
1.6484202	0.077472627	0.0032584178	0.00040383841
2.0932198	0.078139827	0.003434449	0.00041440027
2.677459	0.079016186	0.0044368361	0.00047454351
3.2606435	0.079890966	0.0058589899	0.00055987271
3.8323951	0.080748595	0.005903034	0.0005625154
4.2634273	0.081395142	0.0071758297	0.0006388831
4.8263736	0.082239561	0.0073916451	0.00065183203
5.3515682	0.083027355	0.0077684023	0.0006744375
5.915565	0.083873346	0.0083967065	0.00071213575
6.4853597	0.08472804	0.010410214	0.00083294616
6.9671807	0.085450768	0.010407902	0.00083280745
7.5598602	0.086339787	0.010194741	0.00082001783
8.084775	0.087127164	0.012276093	0.00094489893
8.6059723	0.087908961	0.0127939	0.00097596733
9.0953503	0.088643022	0.014156209	0.0010577058
9.71558	0.089573368	0.014158545	0.001057846
10.213773	0.090320662	0.015747106	0.0011531597
10.718558	0.091077834	0.016150258	0.0011773489
11.27894	0.091918409	0.016183117	0.0011793204
11.831773	0.092747658	0.017514644	0.001259212
12.351938	0.093527906	0.018673263	0.0013287291
12.903978	0.094355971	0.01890363	0.0013425511
13.365888	0.09504883	0.019260628	0.001363971
13.972315	0.095958471	0.020114042	0.0014151759
14.475794	0.096713692	0.022468982	0.0015564723
