tenss	etenss	currr	ecurr
0.010518174	0.029157773	0.00091417675	0.00014749312
0.25030202	0.032754529	0.0012338472	0.00017306676
0.53088242	0.036963236	0.0015229809	0.00019619745
0.77043867	0.04055658	0.0017904652	0.00021759619
1.0835938	0.045253906	0.0023363703	0.00026126861
1.2887967	0.04833195	0.0024297847	0.00026874174
1.5943125	0.052914687	0.0027678977	0.00029579079
1.8237807	0.056356709	0.0031886373	0.00032944995
2.1047919	0.060571879	0.0035996917	0.00036233431
2.3753874	0.064630814	0.0041009248	0.00040243295
2.6403096	0.068604641	0.0042589963	0.00041507868
2.9133162	0.072699741	0.0045605195	0.00043920052
3.167449	0.076511733	0.0053478894	0.00050219015
3.4117763	0.080176644	0.0051621026	0.0004873272
3.6811018	0.084216528	0.0058165197	0.00053968054
3.9478967	0.088218451	0.0060670753	0.00055972498
4.2115674	0.092173509	0.0059047719	0.00054674072
4.5020504	0.096530758	0.0062984335	0.00057823368
4.7139692	0.099709541	0.0070568467	0.00063890673
4.9840708	0.10376106	0.0072147632	0.00065154
5.2595811	0.10789371	0.0077245436	0.00069232244
5.5547261	0.11232089	0.0081157293	0.00072361733
